Datum (MEZ),Kernenergie,Laufwasser,Biomasse,Braunkohle,Steinkohle,Öl,Erdgas,Geothermie,Speicherwasser,Pumpspeicher,Andere,Müll,Wind Offshore,Wind Onshore,Solar,

2022-01-01T00:00+01:00,3201.8,2008.3,4604.8,3814.2,1837.3,110.9,2961.6,22.7,57.7,432.6,70,1307.6,6132.1,25130.3,0,
2022-01-01T00:15+01:00,3318.2,2008.1,4590.5,3798.8,1831.1,110.9,3065.3,22.7,41,312.8,70,1310.7,6038.7,25050.4,0,
2022-01-01T00:30+01:00,3337.5,2007.3,4588.5,3740.2,1828.4,110.9,3059.5,22.9,30.1,191.1,70,1294.7,5961.1,24656.4,0,
2022-01-01T00:45+01:00,3335.9,2007.9,4607.1,3758.9,1821.5,110.9,3056.2,23,33.8,130.4,70,1271.1,5771.2,24718,0,
2022-01-01T01:00+01:00,3344.1,2001.3,4598.4,3781.4,1842,110.9,2924.1,23,118.8,276,70.1,1301.4,5688.8,24266.4,0,
2022-01-01T01:15+01:00,3343.5,1997.1,4589.7,3734.8,1845.9,110.9,2917.6,23.1,121.3,321.1,70.1,1292.6,5795.3,24025.4,0,
2022-01-01T01:30+01:00,3340.1,1999.9,4584,3748.1,1834,110.9,2901.9,23.2,119.2,296.6,70.1,1283.3,5775.4,23608.7,0,
2022-01-01T01:45+01:00,3337.6,2000.3,4588.2,3783.8,1835.2,110.9,2920.8,23.2,34.9,285.4,70.1,1297.1,5843,22938.5,0,
2022-01-01T02:00+01:00,3340.8,2000.3,4593.7,3737,1828.7,110.9,2930.6,23.3,102.6,383.7,70.1,1283.8,5699.4,22974.9,0,
2022-01-01T02:15+01:00,3338.5,1996.5,4586.9,3718.4,1828.2,110.9,2892.1,23.5,32.9,293.2,70.1,1285.8,5748.1,22593.8,0,
2022-01-01T02:30+01:00,3341.5,1999.3,4596.5,3691.5,1820.3,110.9,2909.2,23.6,34.1,241.9,70.1,1280.7,5410.5,22407.5,0,
2022-01-01T02:45+01:00,3330.8,1996.4,4600.9,3681.4,1819.7,110.9,2916.9,23.7,30.5,136.8,70.1,1275.6,5335.7,22306.5,0,
2022-01-01T03:00+01:00,3341.1,1997.1,4599.2,3719.7,1816.1,110.9,2944.4,23.9,33.7,115.8,70.1,1263.6,5305.1,22006.3,0,
2022-01-01T03:15+01:00,3335.9,1997.9,4607.2,3709.1,1816.4,110.9,2934.7,24,33,106.4,70.1,1275.7,5266.2,21737.3,0,
2022-01-01T03:30+01:00,3336,1998.7,4602.1,3717.1,1813,110.9,2926.2,23.9,34.2,115.8,70.1,1281.6,5353.6,21216,0,
2022-01-01T03:45+01:00,3330.4,1998,4597,3722.6,1816.4,110.9,2939.4,23.9,37.2,92.8,70.1,1281.3,5607.4,20965.9,0,
2022-01-01T04:00+01:00,3335.2,1997.6,4601.1,3736.3,1809.7,110.9,2949.5,23.9,62.7,86.8,70.1,1268.1,5592.8,20335.6,0,
2022-01-01T04:15+01:00,3336.2,1995,4601.2,3722.9,1807,110.9,2932.9,23.9,32.4,73.1,70.1,1265.9,5694,20331.8,0,
2022-01-01T04:30+01:00,3337.6,1995.5,4608.8,3745.4,1801.8,110.9,2941.2,24,174.1,49.6,70.1,1263.1,5696.1,19713.6,0,
2022-01-01T04:45+01:00,3334.2,1993.8,4602.4,3803.8,1807.3,110.9,2943.6,24.1,55.7,47.5,70.1,1267,5364.1,19673,0,
2022-01-01T05:00+01:00,3338.2,1994.9,4604.9,3850.5,1801,110.9,2918.4,24,37.2,47.5,70.1,1264,5018.9,19293,0,
2022-01-01T05:15+01:00,3338.7,1984.2,4610.2,3936,1804,110.9,2929.4,24.1,54.5,49.4,70.1,1268.9,4645.3,19079,0,
2022-01-01T05:30+01:00,3344.6,1982.6,4611.5,4100.8,1811.2,110.9,2919,24.2,93.6,45.7,70.1,1282.4,4321.7,18901.6,0,
2022-01-01T05:45+01:00,3341.8,1980.6,4613.7,4095.5,1811.3,110.9,2945.2,24,91.3,43.7,70.1,1286.8,4139.3,18872.7,0,
2022-01-01T06:00+01:00,3336.6,1974.6,4632.8,4093.4,1805.8,110.9,2908.3,23.9,30.6,43.7,70.1,1279.3,4106.2,19103.3,0,
2022-01-01T06:15+01:00,3335.8,1979.4,4650.9,4100.5,1820.8,111.1,2931.7,23.8,33.4,43.3,70.1,1270.3,4330.7,18826.5,0,
2022-01-01T06:30+01:00,3339.2,1980.5,4656.9,4114.6,1831,111.7,2935.5,24.2,37,43,70.1,1281.2,4635.6,18663.1,0,
2022-01-01T06:45+01:00,3335.4,1984.2,4658.9,4137.8,1832.2,111.7,2936.4,24.2,33.8,44.2,70,1282.7,4986.8,18306.3,0,
2022-01-01T07:00+01:00,3333.7,1983.1,4683.4,4102.6,2072.4,111.7,2937.6,24.3,27.9,82.1,70.1,1290.9,5035.7,17968,0,
2022-01-01T07:15+01:00,3327.2,1983.1,4695.7,4096,2109.2,111.7,2937.8,24.2,31.8,82.1,70.1,1292.3,4950.6,17587.9,0.1,
2022-01-01T07:30+01:00,3305,1983.2,4711.4,4109.1,2167.7,111.7,2947,24.3,33.5,82.1,68.5,1297.4,4826.5,17312.1,0.1,
2022-01-01T07:45+01:00,3325.8,1989.8,4741.6,4109.3,2125.6,111.7,2926.4,24.3,32.6,82.1,68.6,1300.4,4589.2,17268.7,1.6,
2022-01-01T08:00+01:00,3338.7,1987.5,4784,4202.1,2215.4,111.7,3079.1,24.2,53.5,82.9,68.5,1302.5,4512.1,16666.9,5.2,
2022-01-01T08:15+01:00,3336.4,1995.7,4805.7,4192.3,2195.1,111.7,3075,24.2,39.8,88.3,68.5,1302.7,4105.4,16370.6,64.5,
2022-01-01T08:30+01:00,3340.9,2010.6,4817.1,4219,2165.9,111.7,3090.8,24.2,29.5,82.9,68.5,1295.1,3921,16091.4,313.2,
2022-01-01T08:45+01:00,3332.3,2013.8,4817.2,4278.5,2211.9,111.7,3087.8,24.2,26.9,82.7,68.5,1292.9,4150.1,15849.5,689,
2022-01-01T09:00+01:00,3324.3,2010.7,4821.4,4438.8,2199.4,111.7,3000.6,24.2,33,81.5,68.5,1296.8,4261.3,15721.3,1194.3,
2022-01-01T09:15+01:00,3321.6,2013.8,4852.1,4457.1,2186.1,111.7,2985.7,24.1,22.6,78.9,68.5,1287.5,4313.3,15478.8,1769.8,
2022-01-01T09:30+01:00,3323.2,2013.8,4850.2,4488.3,2213.7,111.7,3006.8,24,21.1,79.4,68.5,1290,4253,15027.6,2329.7,
2022-01-01T09:45+01:00,3327.6,2023.4,4826.2,4474.6,2235.2,111.7,3001.9,21.6,21.3,80.1,67.3,1287.8,4029.1,14853.5,2923.5,
2022-01-01T10:00+01:00,3330.2,2014.4,4818.4,4609.4,2179.2,111.7,3128,20,21.5,129.5,67.3,1291.2,4036.6,14419.8,3562,
2022-01-01T10:15+01:00,3329.8,2020,4834.5,4705.2,2192.6,111.7,3129.1,20,19.8,146.7,67.3,1294.1,4061.2,13809.8,4240.5,
2022-01-01T10:30+01:00,3333.2,2022.6,4843.3,4611.4,2196.8,111.7,3137,20,23.1,172.1,67.3,1302,4129.1,13355.2,4931.6,
2022-01-01T10:45+01:00,3337.7,2026.4,4848.8,4631.8,2201.8,111.7,3150.3,19.9,20.3,147.2,67.3,1287.5,3977.8,12949,5585.8,
2022-01-01T11:00+01:00,3337,2025.6,4825.2,4662.9,2231.9,111.7,3130.1,19.9,30.1,76.4,67.3,1288.8,3922.9,12324.6,6139.6,
2022-01-01T11:15+01:00,3335.8,2022.5,4805.3,4682,2242.9,111.7,3138.3,19.7,17.4,96,67.3,1287.4,4077,12042.4,6701.2,
2022-01-01T11:30+01:00,3333.1,2021.1,4782.1,4689.6,2280.1,111.7,3146.9,17.3,22.2,123.9,67.3,1282.3,4411.6,11457.4,7182,
2022-01-01T11:45+01:00,3340.3,2019,4805,4735.1,2313.5,111.7,3157,15.6,67.2,105.6,67.3,1292.2,4649.2,10654.8,7572.6,
2022-01-01T12:00+01:00,3347.3,2011.5,4786.2,4786.7,2369.5,111.7,3133.3,15.5,30.9,567.8,67.3,1290.6,4591.9,10665.6,7861.9,
2022-01-01T12:15+01:00,3344.3,2006.2,4772.5,4745.1,2449,111.7,3148.7,15.4,24.7,440.7,67.3,1290.6,4841.9,10432.4,8118.9,
2022-01-01T12:30+01:00,3336,2006.4,4751.6,4834.5,2473.6,111.7,3147.5,15.4,26.8,457.9,67.3,1284.2,5186,9811.1,8208,
2022-01-01T12:45+01:00,3337.2,2004.8,4748.9,4740.5,2477.7,111.7,3133.8,15.4,23.2,495.5,67.3,1293.6,5360.6,9475.5,7998.1,
2022-01-01T13:00+01:00,3340.9,2007.1,4742.6,4516.9,2468.1,111.7,3040.2,15.4,24.6,715,67.3,1301,5378.9,9149.6,7696.8,
2022-01-01T13:15+01:00,3341.6,2007.3,4736.6,4488.8,2466.4,111.7,3037.2,15.4,19.9,691.7,67.3,1293.4,5445,8862.6,7346.5,
2022-01-01T13:30+01:00,3338.6,2005.5,4736,4488.7,2462.5,111.7,3039.7,15.4,35.1,665.9,67.3,1285.1,5562.7,8551.5,6855.6,
2022-01-01T13:45+01:00,3329.2,2006.8,4736.5,4492.5,2467.5,111.7,3035.1,15.4,70.7,740.8,67.3,1284,5724.4,8284.1,6335.6,
